Year,Mine Name,Mine Status,Mine Type,Production (short tons),Average Employees,Labor Hours
2021,Enlow Fork Mine,Active,Underground,"68,08,789",356,"7,87,575"
2021,"Adc, Inc Pit 008",Active,Surface,"3,967",2,"2,478"
2021,Rustic Ridge #1 Mine,Active,Underground,"4,41,806",93,"2,10,971"
2021,Mellon # 5 Mine,Active,Surface,"89,774",7,"17,088"
2021,Baldwin Plant,"Active, men working, not producing",Underground,0,4,"8,596"
2021,San Miguel Lignite Mine,Active,Surface,"24,64,440",303,"5,97,252"
2021,South Hallsville No 1 Mine,Active,Surface,"18,65,625",159,"3,13,033"
2021,Kosse Strip,Active,Surface,"87,54,658",339,"7,83,335"
2021,Calvert Mine,Active,Surface,"20,63,647",86,"1,78,547"
2021,Liberty,Active,Surface,"21,02,030",150,"3,16,835"
2021,Savage Coal Terminal,Active,Surface,0,12,"27,972"
2021,Savage Coal Terminal,Active,Underground,0,11,"27,972"
2021,Skyline Mine #3,Active,Underground,"35,34,791",400,"8,07,200"
2021,Sunnyside Waste Coal Site,Active,Surface,0,11,"20,253"
2021,Lila Canyon,Active,Underground,"34,70,644",249,"5,83,814"
2021,Castle Valley Prep Plant,Active,Underground,0,5,"9,197"
2021,Emery Mine,Active,Underground,"11,70,988",149,"3,75,783"
2021,Hunter Prep Plant,Active,Surface,0,8,"15,447"
2021,Hunter Prep Plant,Active,Underground,0,7,"15,446"
2021,Gentry Mine #3,Active,Underground,"5,12,951",87,"1,86,449"
2021,Gentry Mountain Mine Surface,Active,Underground,0,34,"72,456"
2021,Coal Hollow Mine,Active,Surface,"4,34,165",27,"88,213"
2021,Sufco,Active,Underground,"33,10,292",371,"7,33,287"
2021,Ce#3,Active,Surface,0,33,"89,087"
2021,#7 Prep Plant,Active,Surface,0,1,"2,955"
2021,#7 Prep Plant,Active,Underground,0,5,"11,822"
2021,Buchanan Mine #1,Active,Underground,"48,52,300",547,"12,64,372"
2021,Wellmore #8 Prep Plant,Active,Surface,0,13,"31,604"
2021,Wellmore #8 Prep Plant,Active,Underground,0,20,"47,407"
2021,Mine No. 2,Active,Underground,"41,623",16,"39,301"
2021,Cv#37 Auger Miner,Active,Surface,"5,853",2,"2,821"
2021,Laurel Branch Surface,Active,Surface,"4,18,340",98,"2,40,743"
2021,Surface Mine No. 1,"Active, men working, not producing",Surface,"7,727",19,"30,620"
2021,Tilley,"Active, men working, not producing",Underground,123,6,"3,816"
2021,Elk Creek Surface,Active,Surface,"52,381",8,"18,175"
2021,Airport Surface,Active,Surface,"5,38,412",64,"1,73,445"
2021,Weller Yard Surface,Active,Surface,"16,654",6,"5,980"
2021,Cv#3 Surface Mine,Permanently abandoned,Surface,"35,823",12,"25,202"
2021,Mc Auger 36,Active,Surface,"2,352",2,460
2021,Mcclure River Plant,Active,Surface,0,3,"7,695"
2021,Mcclure River Plant,Active,Underground,0,65,"1,46,202"
2021,Carico Ridge Strip,Active,Surface,"10,642",4,"3,908"
2021,Baden #1,Active,Surface,"1,23,491",20,"49,120"
2021,88 Strip,Active,Surface,"6,65,136",135,"3,15,409"
2021,No. 11,Active,Underground,"71,149",22,"47,152"
2021,Deep Mine 41,Active,Underground,"22,99,854",383,"9,13,122"
2021,Deep Mine 44,Active,Underground,"5,13,959",111,"2,58,294"
2021,Long Branch Surface Mine,Active,Surface,"2,37,956",48,"1,01,041"
2021,P-14,Active,Underground,0,9,"22,720"
2021,Bam 7 Auger,"Active, men working, not producing",Surface,"6,713",3,"1,868"
2021,Rcr #1,Active,Surface,"39,633",19,"42,780"
2021,Auger No. 2,"Active, men working, not producing",Surface,"5,283",2,546
2021,Shm26,Active,Surface,"74,546",6,"13,692"
2021,Coal Creek Prep Plant,Active,Surface,0,5,"10,383"
2021,Coal Creek Prep Plant,Active,Underground,0,13,"29,550"
2021,Big Creek Surface,Active,Surface,"45,332",18,"34,656"
2021,Virginia Point No. 1 Surface M,Active,Surface,"40,031",9,"20,990"
2021,Hill Creek Auger,Active,Surface,"6,574",6,"3,849"
2021,Auger No. 44,Temporarily closed,Surface,"7,682",3,"2,869"
2021,P-7 Pigeon Creek,Active,Underground,0,9,"25,454"
2021,Tipple #1,Active,Surface,0,2,"3,388"
2021,Tipple #1,Active,Underground,0,2,"3,388"
2021,Toms Creek Complex,Active,Surface,0,18,"42,097"
2021,Toms Creek Complex,Active,Underground,0,16,"35,861"
2021,No 1 Prep Plant,Active,Surface,0,7,"13,223"
2021,No 1 Prep Plant,Active,Underground,0,17,"34,003"
2021,No. 26 Strip,Active,Surface,"1,27,977",30,"57,802"
2021,No. 2,Active,Underground,"2,23,539",54,"1,12,028"
2021,D-7 Osaka,Active,Underground,"20,523",12,"35,405"
2021,Savage Blending Terminal,Active,Surface,0,5,"10,055"
2021,Savage Blending Terminal,Active,Underground,0,5,"10,054"
2021,Airport Mine 1,"Active, men working, not producing",Surface,"1,05,872",10,"22,149"
2021,Nev #1,Active,Surface,"61,638",6,"10,398"
2021,Hickory Gap Strip #4,Active,Surface,"31,870",13,"15,846"
2021,Leer South Mine,Active,Underground,"9,05,261",549,"13,38,899"
2021,Leer South Preparation Plant,Active,Underground,0,35,"79,908"
2021,Shm-44,Permanently abandoned,Surface,"22,734",5,"10,819"
2021,Wells Prep Plant And Loadout,Active,Surface,0,5,"13,190"
2021,Wells Prep Plant And Loadout,Active,Underground,0,1,"2,328"
2021,Chess Processing,"Active, men working, not producing",Surface,0,8,"17,649"
2021,Rocklick Preparation Plant,Active,Surface,0,19,"41,706"
2021,Rocklick Preparation Plant,Active,Underground,0,29,"62,560"
2021,Gateway Eagle Mine,Active,Underground,"2,23,989",60,"1,36,826"
2021,"Black Castle Mining Company, L",Active,Surface,819,18,"37,225"
2021,Twilight Mtr Surface Mine,Active,Surface,"2,72,850",66,"1,59,360"
2021,North Eagle Mine,Active,Underground,"10,47,569",128,"2,97,116"
2021,Cv#4 Surface Mine,Active,Surface,"44,499",13,"18,160"
2021,Bull Creek Prep & Refuse Disp,Active,Surface,0,9,"23,283"
2021,Boone North No. 1 Surface Mine,Active,Surface,"2,78,924",41,"97,891"
2021,Boone North No. 2 Surface Mine,"Active, men working, not producing",Surface,"4,037",10,"14,384"
2021,Winchester Peerless Rachel Min,Active,Underground,"7,95,555",105,"2,50,228"
2021,Mine No 6,Active,Surface,"6,370",8,"4,896"
2021,Coal Branch No.1 Mine,Active,Underground,"3,67,910",59,"1,43,069"
2021,Fola Surface Mine No 2,Active,Surface,"79,027",15,"33,932"
2021,Maple Eagle No. 1 Mine,Active,Underground,"4,68,645",114,"2,80,142"
2021,Kingston Processing,Active,Surface,0,1,"2,316"
2021,Kingston Processing,Active,Underground,0,34,"74,872"
2021,Maple Eagle Preparation Plant,Active,Underground,0,29,"63,490"
2021,Sycamore Surface Mine,Active,Surface,"5,217",12,"16,232"
2021,Bishop Surface,Active,Surface,"24,458",14,"28,091"
2021,Kingston No. 2,Active,Underground,"4,85,171",116,"2,71,819"
2021,Republic Energy,Active,Surface,"8,98,855",112,"2,63,371"
2021,Pax Load Out,Active,Surface,0,4,"9,836"
2021,Pax Load Out,Active,Underground,0,3,"9,835"
2021,Hughes Ferry Surface Mine No.,Active,Surface,"7,193",6,"11,259"
2021,Bam Va Auger,Temporarily closed,Surface,243,2,96
2021,Potomac-North,Active,Surface,"26,375",6,"12,397"
2021,Mountaineer Pocahontas No 1 Pr,Active,Surface,0,3,"6,311"
2021,Mountaineer Pocahontas No 1 Pr,Active,Underground,0,0,624
2021,Blue Knob Surface Mine,Active,Surface,"1,06,544",34,"86,263"
2021,Clearco Prep & Loadout Facilit,Active,Surface,0,9,"22,297"
2021,Rocky Run Surface Mine,Active,Surface,"20,704",23,"18,266"
2021,Shm-75,Active,Surface,"45,897",8,"19,499"
2021,South Hollow Prep Plant And Lo,Active,Underground,0,50,"1,11,975"
2021,Mammoth Coal  Processing Pl &,Active,Surface,0,16,"35,590"
2021,Mammoth Coal  Processing Pl &,Active,Underground,0,31,"66,097"
2021,American Eagle Mine,Active,Underground,"7,59,230",185,"4,47,592"
2021,Samples Surface Mine,Active,Surface,"2,80,985",47,"1,14,261"
2021,Toms Fork Prep Plant And Loado,Active,Surface,0,2,"6,416"
2021,Toms Fork Prep Plant And Loado,Active,Underground,0,5,"12,454"
2021,Wet Branch Prep Plant,Active,Underground,0,41,"94,543"
2021,Marmet Dock,Active,Surface,0,5,"10,062"
2021,Marmet Dock,Active,Underground,0,5,"10,061"
2021,Samples Mine Highwall Miner,Active,Surface,"84,224",10,"23,956"
2021,Slabcamp,Active,Underground,"11,78,517",112,"2,64,785"
2021,Blue Creek Prep Plant,Active,Underground,0,15,"32,255"
2021,Blue Creek No. 1 Ug Mine,Active,Underground,"6,06,536",73,"1,75,813"
2021,Witcher Creek Surface Mine,Active,Surface,"1,68,498",31,"77,136"
2021,Fork Creek Prep Plant,Active,Surface,0,13,"27,062"
2021,Ahm Coal Mac Mine #1,Active,Surface,"1,44,124",4,"8,531"
2021,Saunders Preparation Plant,Active,Surface,0,1,"3,592"
2021,Saunders Preparation Plant,Active,Underground,0,49,"1,16,140"
2021,Elk Creek Plant,Active,Surface,0,15,"36,261"
2021,Elk Creek Plant,Active,Underground,0,66,"1,65,191"
2021,Elk Lick Tipple,Active,Surface,0,2,"4,517"
2021,Elk Lick Tipple,Active,Underground,0,20,"45,672"
2021,Feats Loadout,Active,Surface,0,3,"6,235"
2021,Feats Loadout,Active,Underground,0,3,"6,235"
2021,Rum Creek Preparation Plant,Active,Underground,0,59,"1,33,395"
2021,Holden No 22 Preparation Plant,Active,Surface,0,24,"28,681"
2021,Stonecoal Branch Mine No. 2,Active,Underground,"5,22,303",87,"2,28,365"
2021,Aracoma Alma Mine #1,"Active, men working, not producing",Underground,"1,04,369",34,"72,893"
2021,Superior Surface Mine,"Active, men working, not producing",Surface,"1,50,825",30,"66,818"
2021,Guyan Mine,Permanently abandoned,Surface,2,1,515
2021,Holden #22 Surface,Active,Surface,"9,82,581",121,"3,01,555"
2021,Mountaineer Ii Mine,Active,Underground,"8,66,524",305,"7,03,244"
2021,Cardinal Preparation Plant,Active,Surface,0,4,"6,944"
2021,Cardinal Preparation Plant,Active,Underground,0,22,"36,457"
2021,Toney Fork Surface Mine,Active,Surface,"11,635",6,"5,016"
2021,Powellton #1 Mine,Active,Underground,"4,78,047",117,"3,26,177"
2021,Highwall Miner No.1,Active,Surface,"2,10,321",12,"31,369"
2021,Cedar Grove #2 Mine,Active,Underground,"5,56,617",73,"1,64,265"
2021,Auger #3,"Active, men working, not producing",Surface,"2,296",3,"1,176"
2021,Shm60,Active,Surface,"23,166",5,"2,109"
2021,Eagle Seam Deep Mine,"Active, men working, not producing",Underground,"6,70,873",54,"1,50,692"
2021,Muddy Bridge,Active,Underground,"3,60,223",71,"1,59,503"
2021,Ram Surface Mine No. 1,Active,Surface,"1,55,935",27,"80,611"
2021,No. 2 Gas,Active,Underground,"4,21,576",54,"1,29,215"
2021,No. 4 Auger,"Active, men working, not producing",Surface,"6,568",5,"2,384"
2021,Eagle No 1 Mine,Active,Underground,"5,87,469",121,"3,09,265"
2021,Elklick Surface Mine,Active,Surface,"1,24,944",7,"11,515"
2021,Davy Branch Mine,Active,Underground,"6,25,727",96,"2,20,957"
2021,Lynn Branch No. 2 Mine,Active,Underground,"10,30,426",144,"3,33,187"
2021,Southeastern Auger No. 1,Active,Surface,"6,885",2,584
2021,Shm-47,Active,Surface,"44,457",7,"6,219"
2021,Shm 12 Highwall Miner,Active,Surface,"1,26,430",7,"15,831"
2021,Bishop Impoundment Area,"Active, men working, not producing",Surface,"1,100",13,"19,472"
2021,Superior Cleaning Plant,Active,Surface,0,1,"1,389"
2021,Superior Cleaning Plant,Active,Underground,0,15,"33,340"
2021,No.32,Active,Surface,"13,383",67,"37,193"
2021,Low Gap Surface Mine,Active,Surface,"29,373",7,"9,766"
2021,Sewell Mine B,Active,Underground,"79,001",28,"59,106"
2021,Red Fox Surface Mine,"Active, men working, not producing",Surface,"11,248",22,"14,533"
2021,No 1,Active,Underground,"16,501",12,"25,984"
2021,Big Creek Washer,Active,Surface,0,12,"26,833"
2021,Mine No. 3,Active,Underground,"3,045",3,"1,185"
2021,Eckman Surface Mine,Active,Surface,"1,14,788",28,"72,163"
2021,Mine No. 32,Active,Underground,"93,377",23,"47,772"
2021,No 57 Mine,Active,Underground,"49,647",45,"87,639"
2021,Caretta #3 Mine,Active,Underground,"92,436",23,"46,174"
2021,Mine No 2,Active,Underground,"77,159",17,"31,429"
2021,Mine No. 39,Active,Underground,"4,10,925",125,"2,97,653"
2021,Mine No 3,"Active, men working, not producing",Underground,"46,400",12,"22,866"
2021,Eckman Plant,Active,Surface,0,28,"61,332"
2021,Eckman Plant,Active,Underground,0,47,"1,04,429"
2021,Shm #67,Active,Surface,"1,71,978",12,"28,471"
2021,Dry Branch Surface Mine,Active,Surface,"4,75,445",125,"2,93,339"
2021,Switchback Loadout,Active,Surface,0,5,"14,343"
2021,Sewell Mine R,Active,Underground,"99,783",13,"35,845"
2021,Skyway Iii Mine,Active,Surface,"13,091",9,"24,088"
2021,Red Ash Highwall Mine #1,Active,Surface,"25,230",11,"7,142"
2021,Newhall Surface Mine No. 2,"Active, men working, not producing",Surface,"50,544",9,"18,008"
2021,Mine No. 43,Active,Underground,"3,72,754",108,"2,46,008"
2021,Edm No. 1 Mine,Active,Underground,"44,797",11,"25,173"
2021,Berwind Deep Mine,"Active, men working, not producing",Underground,"16,868",26,"49,759"
2021,Triad Poca 4 Seam Deep Mine,Active,Underground,"1,63,720",26,"81,791"
2021,Marion County Mine,Active,Underground,"61,82,761",470,"10,74,316"
2021,Grant Town Power Plant,Active,Surface,0,12,"16,193"
2021,Barrackville Refuse Pile,Active,Surface,"1,86,956",11,"21,997"
2021,Ohio County Mine,Active,Underground,"59,74,355",432,"10,34,352"
2021,Marshall County Mine,Active,Underground,"1,10,22,355",792,"17,91,005"
2021,Marshall County River Loadout,Active,Underground,0,16,"36,057"
2021,Mine No. 1,Active,Surface,"2,63,282",52,"1,52,463"
2021,Olan Processing Plant,Active,Surface,0,15,"38,395"
2021,Olan Processing Plant,Active,Underground,0,2,"6,250"
2021,Saturn Surface Mine,Active,Surface,"91,992",27,"29,253"
2021,Rane Deep Mine,"Active, men working, not producing",Underground,"21,302",12,"16,955"
2021,Shm-71,Active,Surface,"26,469",6,"4,954"
2021,Delbarton Preparation Plant,Active,Underground,0,4,"8,030"
2021,Pete's Branch Surface Mine,Active,Surface,"27,701",31,"10,400"
2021,Dingess Processing Complex,"Active, men working, not producing",Surface,0,10,"8,341"
2021,Black Bear Preparation Plant,"Active, men working, not producing",Surface,0,11,"22,175"
2021,Ragland Loadout,Active,Surface,0,27,"37,589"
2021,Tug Fork Preparation Plant,Active,Surface,0,10,"24,810"
2021,Grapevine South Surface Mine,Active,Surface,"3,99,241",52,"1,39,663"
2021,Upper Cedar Grove Hwm Job,Active,Surface,"17,502",11,"16,349"
2021,Twin Branch No 1 Surface,Active,Surface,"9,52,168",107,"2,52,930"
2021,Shm 46 Highwall Miner,Active,Surface,"19,181",4,"3,002"
2021,Remining #3,Active,Surface,"88,513",18,"47,232"
2021,Cam Highwall Miner,Active,Surface,"1,54,080",5,"13,299"
2021,Hwm 58,Active,Surface,"1,13,811",10,"28,231"
2021,Cv30,Temporarily closed,Surface,"3,655",3,804
2021,Brooke Prep Plant,Active,Surface,0,5,"11,930"
2021,Brooke Prep Plant,Active,Underground,0,1,"1,474"
2021,Power Mountain Processing,Active,Underground,0,28,"63,750"
2021,Jerry Fork Eagle,Active,Underground,"8,42,072",159,"3,90,926"
2021,Hominy #1 Surface Mine,Temporarily closed,Surface,"4,373",5,"11,900"
2021,Hominy # 2 Surface Mine,Active,Surface,"30,480",1,"2,239"
2021,Quinwood No. 1 Deep Mine,Active,Underground,"5,863",25,"7,184"
2021,Tunnel Ridge Mine,Active,Underground,"72,12,501",435,"9,31,395"
2021,Lower Big Branch Impoundment,"Active, men working, not producing",Surface,0,8,"7,786"
2021,Beckley Pocahontas Mine,Active,Underground,"10,84,070",287,"6,58,518"
2021,Marfork Processing,Active,Underground,0,107,"2,14,375"
2021,Coon Cedar Grove Mine,"Active, men working, not producing",Underground,"47,907",27,"54,283"
2021,Affinity Mine,Active,Underground,"8,65,618",223,"5,14,854"
2021,Affinity Preparation Plant,Active,Surface,0,4,"6,729"
2021,Affinity Preparation Plant,Active,Underground,0,22,"41,336"
2021,Ewing Fork No. 1 Surface Mine,Active,Surface,"8,73,145",109,"2,74,351"
2021,Horse Creek Eagle,Active,Underground,"5,60,907",119,"2,66,553"
2021,Allen Powellton Mine,"Active, men working, not producing",Underground,"73,471",27,"57,767"
2021,Pocahontas Highwall Mine,Active,Surface,"3,271",5,"3,712"
2021,Panther Eagle Mine,Active,Underground,"3,39,101",110,"2,42,089"
2021,Beckley Pocahontas Plant,Active,Underground,0,28,"61,731"
2021,Shm 12-66,Active,Surface,"1,10,831",11,"15,884"
2021,Hwm #73,Active,Surface,"1,10,142",8,"16,646"
2021,Workman Creek Surface,Active,Surface,"23,24,938",293,"7,15,648"
2021,Pocahontas Hwm 52,Active,Surface,"1,30,436",19,"46,536"
2021,Black Eagle,Active,Underground,"5,69,889",171,"4,01,245"
2021,Shm #1 Miner,Temporarily closed,Surface,"64,757",4,"8,445"
2021,Star Bridge Preparation Plant-,Active,Surface,0,2,"4,842"
2021,Star Bridge Preparation Plant-,Active,Underground,0,32,"64,324"
2021,Morgan Camp Mine,Active,Underground,"5,94,419",142,"3,27,317"
2021,Beech Mountain Mine,Active,Underground,"1,05,116",18,"42,039"
2021,Leer Prep Plant,Active,Underground,0,46,"1,10,478"
2021,Leer Mine,Active,Underground,"43,70,790",463,"11,49,032"
2021,Mountain View Mine,Active,Underground,"15,39,656",185,"3,64,542"
2021,Rockspring Plant,"Active, men working, not producing",Surface,0,5,"8,694"
2021,Ceredo Dock,Active,Surface,0,25,"50,816"
2021,Ceredo Dock,Active,Underground,0,25,"50,815"
2021,Brooks Run Processing Plant No,Active,Surface,0,18,"28,876"
2021,Seven Pines,Active,Surface,"1,21,674",36,"52,832"
2021,Salem Auger #41,Temporarily closed,Surface,"3,956",2,"1,829"
2021,Harrison County Mine,Active,Underground,"61,49,291",393,"9,18,045"
2021,No. 3,"Active, men working, not producing",Surface,"15,142",2,969
2021,Kepler No. 1 Prep Plant,Active,Underground,0,7,"15,560"
2021,Skinned Poplar Strip,Active,Surface,"55,785",18,"25,088"
2021,Coal Mountain No 1 Surface,Active,Surface,"9,60,060",12,"25,413"
2021,Coal Mountain Loadout,Active,Surface,0,11,"24,761"
2021,Ranger Fuel No. 1 Mine,"Active, men working, not producing",Underground,"2,53,078",82,"1,77,188"
2021,No. 2 Contour & Auger,"Active, men working, not producing",Surface,"14,810",45,"14,804"
2021,K-2 Plant,Active,Surface,0,3,"3,759"
2021,K-2 Plant,Active,Underground,0,8,"11,903"
2021,Lower War Eagle,Active,Underground,"5,30,510",139,"3,54,297"
2021,Glancy Surface Mine,Active,Surface,"8,21,821",114,"2,92,399"
2021,Eagle #3 Mine,Active,Underground,"3,05,932",74,"1,82,646"
2021,Flying Eagle,Active,Underground,"3,04,307",61,"1,53,257"
2021,Road Fork # 52 Mine,Active,Underground,"14,71,247",218,"5,26,319"
2021,Itmann No 5,Active,Underground,"1,01,438",21,"50,502"
2021,Gemini Surface Mine,"Active, men working, not producing",Surface,"45,677",7,"16,460"
2021,Still Run Surface Mine No. 1,Active,Surface,"33,093",8,"17,342"
2021,Wyodak Mine,Active,Surface,"35,03,112",59,"98,805"
2021,Belle Ayr Mine,Active,Surface,"1,44,49,608",256,"4,34,312"
2021,Black Thunder,Active,Surface,"5,93,59,967",949,"18,79,512"
2021,Cordero Rojo Mine,Active,Surface,"1,28,67,638",272,"5,50,544"
2021,Rawhide Mine,Active,Surface,"1,16,01,736",131,"2,34,154"
2021,Caballo Mine,Active,Surface,"1,38,60,353",196,"3,94,293"
2021,Eagle Butte Mine,Active,Surface,"1,35,49,294",222,"3,93,474"
2021,Buckskin Mine,Active,Surface,"1,06,39,487",178,"3,54,240"
2021,Coal Creek Mine,Active,Surface,"19,94,359",102,"2,13,427"
2021,North Antelope Rochelle Mine,Active,Surface,"6,27,99,005",997,"20,75,068"
2021,Dry Fork Mine,Active,Surface,"37,28,004",59,"1,09,540"
2021,Antelope Coal Mine,Active,Surface,"2,17,38,381",442,"8,70,009"
2021,Kemmerer Mine,Active,Surface,"25,01,445",249,"4,51,836"
2021,Jim Bridger Mine,Active,Surface,"12,13,812",209,"3,83,536"
2021,Black Butte And Leucite Hills,Active,Surface,"17,71,411",134,"2,44,588"
2021,Bridger Underground Coal Mine,Temporarily closed,Underground,"31,94,899",112,"2,43,847"
2021,Mid Valley Bank,Active,Refuse,"29,631",4,"2,560"
2021,P610,Active,Refuse,"1,17,182",5,"12,200"
2021,Alpheus Coal Refuse Disposal F,Active,Refuse,"51,972",53,744
2021,Clinchco #1,Active,Refuse,"1,61,088",9,"16,314"
2021,Mahanoy City Stripping,Active,Refuse,"38,883",8,"13,951"
2021,Bcr Mine #1,"Active, men working, not producing",Refuse,"2,33,752",10,"21,760"

